id,time,operator,action,target,detail,ip
AL0002,2026-08-20T16:52:11,系统管理员,LOGIN,sys_user/S1002,登录成功,127.0.0.1
AL0003,2026-08-20T16:53:37,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0004,2026-08-20T22:45:18,系统管理员,LOGIN,sys_user/S1002,登录成功,127.0.0.1
AL0005,2026-08-20T23:44:49,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0006,2026-08-21T00:07:55,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0007,2026-08-21T00:11:19,系统管理员,LOGOUT,,退出登录,0:0:0:0:0:0:0:1
AL0008,2026-08-21T00:12:29,李明,REGISTER,sys_user/S1003,学号注册,0:0:0:0:0:0:0:1
AL0009,2026-08-21T00:20:59,李明,PASSWORD_CHANGE,sys_user/S1003,修改密码,0:0:0:0:0:0:0:1
AL0010,2026-08-21T00:21:20,李明,LOGOUT,,退出登录,0:0:0:0:0:0:0:1
AL0011,2026-08-21T00:22:12,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0012,2026-08-21T01:10:31,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0013,2026-08-21T01:19:29,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0014,2026-08-21T01:19:39,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0015,2026-08-21T01:19:45,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0016,2026-08-21T01:45:55,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0017,2026-08-21T01:46:08,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0018,2026-08-21T01:52:46,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0019,2026-08-21T01:53:08,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0020,2026-08-21T01:53:27,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0021,2026-08-21T01:53:54,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0022,2026-08-21T01:57:07,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0023,2026-08-21T02:04:51,系统管理员,LOGIN,sys_user/S1002,登录成功,127.0.0.1
AL0024,2026-08-21T02:05:40,系统管理员,LOGIN,sys_user/S1002,登录成功,127.0.0.1
AL0025,2026-08-21T02:05:53,系统管理员,LOGIN,sys_user/S1002,登录成功,127.0.0.1
AL0026,2026-08-21T02:39:54,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0027,2026-08-21T02:40:08,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0028,2026-08-21T02:40:24,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0029,2026-08-21T10:17:19,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0030,2026-08-21T10:17:59,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0031,2026-08-21T10:22:07,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0032,2026-08-21T10:22:39,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0033,2026-08-21T10:31:46,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0034,2026-08-21T12:10:42,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0035,2026-08-21T12:15:26,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0036,2026-08-21T12:15:27,系统管理员,RESET_PASSWORD,sys_user/S1003,"重置密码,原因:smoke test",0:0:0:0:0:0:0:1
AL0037,2026-08-21T12:15:27,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0038,2026-08-21T12:16:08,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0039,2026-08-21T12:17:03,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0040,2026-08-21T13:30:19,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0041,2026-08-21T13:30:20,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0042,2026-08-21T13:32:05,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0043,2026-08-21T13:32:06,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0044,2026-08-21T13:34:07,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0045,2026-08-21T13:34:07,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0046,2026-08-21T13:45:22,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0047,2026-08-21T13:46:18,李明,LOGOUT,,退出登录,0:0:0:0:0:0:0:1
AL0048,2026-08-21T13:46:41,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0049,2026-08-21T13:56:16,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0050,2026-08-21T14:24:24,李明,LOGIN,sys_user/S1003,登录成功,127.0.0.1
AL0051,2026-08-21T14:25:31,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0052,2026-08-21T14:28:19,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0053,2026-08-21T14:30:32,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0054,2026-08-21T14:52:51,李明,LOGIN,sys_user/S1003,登录成功,127.0.0.1
AL0055,2026-08-21T18:57:35,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0056,2026-08-21T19:02:36,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0057,2026-08-21T19:14:33,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0058,2026-08-22T09:59:38,系统管理员,LOGIN,sys_user/S1002,登录成功,0:0:0:0:0:0:0:1
AL0059,2026-08-22T10:03:50,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0060,2026-08-22T10:23:58,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
AL0061,2026-08-22T10:28:08,李明,LOGIN,sys_user/S1003,登录成功,0:0:0:0:0:0:0:1
